caseid,age,feelings_life,own_rent,hh_type,hh_size,self_rated_health,self_rated_mental_health,lives_with_partner,children_in_household
284,55.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Excellent,No,No child
285,16.8,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Fair,No,No child
286,57.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
287,44.2,NA,"Rented, even if no cash rent is paid",Single detached house,4,Fair,Excellent,No,No child
288,61.3,NA,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
289,27.4,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Good,No,No child
290,16.1,10,"Owned by you or a member of this household, even if it i...","NA",6,Excellent,Excellent,No,Two children
291,71.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
292,68.8,6,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Very good,No,No child
293,80,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
294,55,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
295,54.9,8,"Rented, even if no cash rent is paid",Other,1,Good,Good,No,No child
296,69.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Excellent,No,No child
297,41,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
298,80,9,"Owned by you or a member of this household, even if it i...",Other,2,Good,Excellent,No,No child
299,61.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,No child
300,31.6,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Excellent,Excellent,No,No child
301,77.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Very good,No,No child
302,62.7,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Very good,No,No child
303,54.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
304,80,5,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Poor,Fair,No,No child
305,71.6,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Excellent,No,No child
306,59.5,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
307,41.2,9,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),4,Excellent,Excellent,No,Two children
308,78.8,9,"Rented, even if no cash rent is paid",Other,2,Fair,Very good,No,No child
309,67.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,Yes,No child
310,74.8,5,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Poor,Very good,No,No child
311,77.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
312,53.7,7,"Rented, even if no cash rent is paid",Single detached house,2,Good,Good,No,No child
313,61.3,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),4,Very good,Very good,No,No child
314,39.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
315,48.9,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Very good,Good,Yes,No child
316,40.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,Yes,Three or more children
317,80,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Excellent,No,No child
318,29.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,Yes,No child
319,18,7,"Rented, even if no cash rent is paid",Other,2,Very good,Good,No,No child
320,74.9,6,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
321,44.6,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Excellent,No,No child
322,26.4,7,"Rented, even if no cash rent is paid",Single detached house,3,Very good,Good,No,No child
323,61.2,4,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Fair,Yes,No child
324,51.5,9,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Excellent,Very good,No,No child
325,31.8,9,"Owned by you or a member of this household, even if it i...",Other,4,Excellent,Excellent,No,Two children
326,80,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Excellent,No,No child
327,70.6,0,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Poor,No,No child
328,63.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
329,26.3,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Fair,Fair,Yes,No child
330,58.6,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
331,34.3,10,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
332,39.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,6,Very good,Good,No,Three or more children
333,39.4,7,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Good,No,No child
334,43,5,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
335,52.6,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Poor,Excellent,Yes,No child
336,20.9,7,"Rented, even if no cash rent is paid",Single detached house,4,Good,Very good,No,No child
337,58.9,0,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Poor,No,No child
338,61.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
339,57.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,Yes,No child
340,69.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
341,62.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
342,48.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Good,No,One child
343,59.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
344,40.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
345,44.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
346,72.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
347,24.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Very good,No,No child
348,40.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
349,46.3,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Very good,Very good,No,No child
350,37.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Very good,No,Two children
351,48.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Excellent,Yes,One child
352,40.2,7,"Owned by you or a member of this household, even if it i...",Other,3,Good,Good,No,One child
353,32.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Good,No,One child
354,48,7,"Rented, even if no cash rent is paid",Single detached house,4,Very good,Good,Yes,Two children
355,58.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,No child
356,79.9,10,"Owned by you or a member of this household, even if it i...",Other,1,Good,Excellent,No,No child
357,21.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,No child
358,61.3,6,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
359,53.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Very good,No,No child
360,38.3,3,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Poor,No,Two children
361,76.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,Yes,No child
362,72.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,No,No child
363,70,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
364,69.3,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
365,51.4,8,"Owned by you or a member of this household, even if it i...",Other,5,Very good,Excellent,No,Three or more children
366,37,9,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Very good,No,Three or more children
367,36.2,7,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Excellent,Excellent,No,No child
368,79,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Excellent,No,No child
369,27.5,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Good,No,No child
370,80,8,"Owned by you or a member of this household, even if it i...",Other,1,Excellent,Good,No,No child
371,24.5,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),4,Excellent,Excellent,No,No child
372,61.2,6,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Good,Fair,No,No child
